x00757,Greater White-fronted x Barnacle Goose (hybrid),289
x00364,Lesser White-fronted x Barnacle Goose (hybrid),290
x00756,Pink-footed x Barnacle Goose (hybrid),291
cacgoo1,Cackling Goose,292
alcgoo1,Cackling Goose (Aleutian),293
ricgoo1,Cackling Goose (Richardson's),294
cacgoo2,Cackling Goose (minima),295
tacgoo1,Cackling Goose (Taverner's),296
x00831,Emperor x Cackling Goose (hybrid),297
x00692,Snow x Cackling Goose (hybrid),298
x00694,Ross's x Cackling Goose (hybrid),299
x00722,Brant x Cackling Goose (hybrid),300
x00414,Greater White-fronted x Cackling Goose (hybrid),301
x00416,Barnacle x Cackling Goose (hybrid),302
cangoo,Canada Goose,303
cangoo4,Canada Goose (moffitti/maxima),304
cangoo3,Canada Goose (occidentalis/fulva),307
cangoo1,Canada Goose (canadensis Group),310
x00908,Bar-headed x Canada Goose (hybrid),314
swagoo3,Swan Goose (Domestic type) x Canada Goose (hybrid),315
x00650,Pink-footed x Canada Goose (hybrid),316
x00415,Greater White-fronted x Canada Goose (hybrid),317
x00758,Graylag x Canada Goose (hybrid),318
gragoo4,Graylag Goose (Domestic type) x Canada Goose (hybrid),319
x00759,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),320
x00197,Snow x Canada Goose (hybrid),321
x00693,Ross's x Canada Goose (hybrid),322
x00417,Barnacle x Canada Goose (hybrid),323
y00470,Cackling/Canada Goose,324
y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),325
hawgoo,Hawaiian Goose,326
rebgoo1,Red-breasted Goose,327
x00939,Greater White-fronted x Red-breasted Goose (hybrid),328
x00365,Barnacle x Red-breasted Goose (hybrid),329
branta1,Branta sp.,330
goose1,goose sp.,331
cabgoo1,Cape Barren Goose,332
freduc1,Freckled Duck,335
buwgoo1,Blue-winged Goose,336
mutswa,Mute Swan,337
x00366,Graylag Goose x Mute Swan (hybrid),338
blkswa,Black Swan,339
blnswa2,Black-necked Swan,340
truswa,Trumpeter Swan,341
x00832,Mute x Trumpeter Swan (hybrid),342
tunswa,Tundra Swan,343
tunswa1,Tundra Swan (Whistling),344
bewswa1,Tundra Swan (Bewick's),345
tunswa2,Tundra Swan (Whistling x Bewick's),346
x00418,Trumpeter x Tundra Swan (hybrid),347
y00471,Trumpeter/Tundra Swan,348
whoswa,Whooper Swan,349
x00419,Trumpeter x Whooper Swan (hybrid),350
y00708,Tundra/Whooper Swan,351
swan1,swan sp.,352
cosswa1,Coscoroba Swan,353
comduc2,Knob-billed Duck,354
comduc3,Comb Duck,355
harduc1,Hartlaub's Duck,356
origoo1,Orinoco Goose,357
andgoo1,Andean Goose,358
uplgoo1,Upland Goose,359
uplgoo2,Upland Goose (White-breasted),362
uplgoo3,Upland Goose (Bar-breasted),363
kelgoo1,Kelp Goose,364
ashgoo1,Ashy-headed Goose,367
ruhgoo1,Ruddy-headed Goose,368
chloep1,Chloephaga sp.,369
radshe1,Radjah Shelduck,370
egygoo,Egyptian Goose,373
maushe1,Mauritius Shelduck,374
reushe1,Reunion Shelduck,375
rudshe,Ruddy Shelduck,376
x00367,Egyptian Goose x Ruddy Shelduck (hybrid),377
soashe1,South African Shelduck,378
ausshe1,Australian Shelduck,379
parshe1,Paradise Shelduck,380
comshe,Common Shelduck,381
x00876,Ruddy x Common Shelduck (hybrid),382
creshe1,Crested Shelduck,383
spwgoo1,Spur-winged Goose,384
spwgoo2,Spur-winged Goose (Northern),385
spwgoo3,Spur-winged Goose (Southern),386
flystd1,Flying Steamer-Duck,387
flistd1,Flightless Steamer-Duck,388
flistd2,Flightless Steamer-Duck (Chiloe form),389
falstd1,Falkland Steamer-Duck,390
whhstd1,White-headed Steamer-Duck,391
steame1,steamer-duck sp.,392
creduc1,Crested Duck,393
speduc2,Spectacled Duck,396
musduc,Muscovy Duck,397
musduc3,Muscovy Duck (Established Feral),398
musduc2,Muscovy Duck (Domestic type),399
grnpyg1,Green Pygmy-Goose,400
copgoo1,Cotton Pygmy-Goose,401
afrpyg1,African Pygmy-Goose,404
rintea1,Ringed Teal,405
wooduc,Wood Duck,406
x00940,Common Shelduck x Wood Duck (hybrid),407
manduc,Mandarin Duck,408
x00833,Wood x Mandarin Duck (hybrid),409
manduc1,Maned Duck,410
finduc1,Finsch's Duck,411
bratea1,Brazilian Teal,412
bluduc1,Blue Duck,415
torduc1,Torrent Duck,416
saltea1,Salvadori's Teal,423
baitea,Baikal Teal,424
gargan,Garganey,425
hottea1,Blue-billed Teal,426
siltea1,Silver Teal,427
puntea1,Puna Teal,430
buwtea,Blue-winged Teal,431
cintea,Cinnamon Teal,432
bwxtea1,Blue-winged x Cinnamon Teal (hybrid),438
y00314,Blue-winged/Cinnamon Teal,439
redsho1,Red Shoveler,440
capsho1,Cape Shoveler,441
aussho1,Australian Shoveler,442
norsho,Northern Shoveler,443
x00836,Garganey x Northern Shoveler (hybrid),444
x00629,Blue-winged Teal x Northern Shoveler (hybrid),445
x00630,Cinnamon Teal x Northern Shoveler (hybrid),446
gadwal,Gadwall,447
gadwal1,Gadwall (Common),448
gadwal2,Gadwall (Coues's),449
x00457,Northern Shoveler x Gadwall (hybrid),450
falduc,Falcated Duck,451
x00368,Baikal Teal x Falcated Duck (hybrid),452
x00369,Gadwall x Falcated Duck (hybrid),453
eurwig,Eurasian Wigeon,454
x00723,Gadwall x Eurasian Wigeon (hybrid),455
amewig,American Wigeon,456
x00877,Wood Duck x American Wigeon (hybrid),457
x00370,Blue-winged Teal x American Wigeon (hybrid),458
x00777,Northern Shoveler x American Wigeon (hybrid),459
x00724,Gadwall x American Wigeon (hybrid),460
x00421,Eurasian x American Wigeon (hybrid),461
y00670,Eurasian/American Wigeon,462
chiwig1,Chiloe Wigeon,463
amsduc1,Amsterdam Duck,464
afbduc1,African Black Duck,465
yebduc1,Yellow-billed Duck,468
melduc1,Meller's Duck,471
pabduc1,Pacific Black Duck,472
layduc,Laysan Duck,475
hawduc,Hawaiian Duck,476
phiduc1,Philippine Duck,477
isbduc1,Indian Spot-billed Duck,478
spbduc,Eastern Spot-billed Duck,481
y00830,Indian/Eastern Spot-billed Duck,482
mallar3,Mallard,483
mallar2,Mallard (Domestic type),486
mdxmal1,Muscovy Duck x Mallard (hybrid),487
x00205,Wood Duck x Mallard (hybrid),488
x00612,Northern Shoveler x Mallard (hybrid),489
x00420,Gadwall x Mallard (hybrid),490
x00647,Eurasian Wigeon x Mallard (hybrid),491
x00611,American Wigeon x Mallard (hybrid),492
x00760,Yellow-billed Duck x Mallard (hybrid),493
x00458,Mallard x Pacific Black Duck (hybrid),494
x00423,Mallard x Hawaiian Duck (hybrid),495
x00834,Mallard x Indian Spot-billed Duck (hybrid),496
x00835,Mallard x Eastern Spot-billed Duck (hybrid),497
y01128,Mallard/Pacific Black Duck,498
y01129,Mallard/Hawaiian Duck,499
y01130,Mallard/Indian Spot-billed Duck,500
y01131,Mallard/Eastern Spot-billed Duck,501
mexduc,Mexican Duck,502
mallar4,Mallard x Mexican Duck (hybrid),503
mallar,Mallard/Mexican Duck,504
ambduc,American Black Duck,505
x00941,American Wigeon x American Black Duck (hybrid),506
x00004,Mallard x American Black Duck (hybrid),507
y00600,Mallard/American Black Duck,508
motduc,Mottled Duck,509
motduc1,Mottled Duck (Florida),510
motduc2,Mottled Duck (Gulf Coast),511
x00422,Mallard x Mottled Duck (hybrid),512
y00632,Mallard/Mottled Duck,513
y01098,Mallard x Mexican/Mottled Duck (hybrid),514
x00922,Mexican x Mottled Duck (hybrid),515
y01099,Mexican/Mottled Duck,516
y00633,American Black/Mottled Duck,517
captea1,Cape Teal,518
whcpin,White-cheeked Pintail,519
whcpin1,White-cheeked Pintail (White-cheeked),520
whcpin2,White-cheeked Pintail (Galapagos),523
x00778,Mallard x White-cheeked Pintail (hybrid),524
rebduc1,Red-billed Duck,525
norpin,Northern Pintail,526
x00837,Baikal Teal x Northern Pintail (hybrid),527
x00610,Gadwall x Northern Pintail (hybrid),528
x00761,Eurasian Wigeon x Northern Pintail (hybrid),529
x00196,American Wigeon x Northern Pintail (hybrid),530
x00628,Mallard x Northern Pintail (hybrid),531
x00674,American Black Duck x Northern Pintail (hybrid),532
eatpin1,Eaton's Pintail,533
yebpin1,Yellow-billed Pintail,536
yebpin2,Yellow-billed Pintail (South Georgia),537
yebpin3,Yellow-billed Pintail (South American),538
gnwtea,Green-winged Teal,541
egwtea1,Green-winged Teal (Eurasian),542
agwtea1,Green-winged Teal (American),543
gnwtea1,Green-winged Teal (Eurasian x American),544
x00371,Garganey x Green-winged Teal (hybrid),545
y00766,Garganey/Green-winged Teal,546
x00673,Blue-winged x Green-winged Teal (hybrid),547
x00763,Cinnamon x Green-winged Teal (hybrid),548
x00762,Gadwall x Green-winged Teal (hybrid),549
x00372,Eurasian Wigeon x Green-winged Teal (hybrid),550
x00646,American Wigeon x Green-winged Teal (hybrid),551
x00670,Mallard x Green-winged Teal (hybrid),552
x00725,Northern Pintail x Green-winged Teal (hybrid),553
spetea3,Andean Teal,554
andtea2,Andean Teal (Merida),555
andtea3,Andean Teal (Andean),556
yebtea1,Yellow-billed Teal,557
spetea2,Yellow-billed Teal (flavirostris),558
spetea4,Yellow-billed Teal (oxyptera),559
y00367,Yellow-billed Pintail/Yellow-billed Teal,560
spetea1,Andean/Yellow-billed Teal,561
mauduc1,Mauritius Duck,562
andtea1,Andaman Teal,563
suntea1,Sunda Teal,564
gretea1,Gray Teal,565
x00926,Pacific Black Duck x Gray Teal (hybrid),568
chetea1,Chestnut Teal,569
x00925,Pacific Black Duck x Chestnut Teal (hybrid),570
x00913,Gray x Chestnut Teal (hybrid),571
y00368,Gray/Chestnut Teal,572
bertea1,Bernier's Teal,573
auitea1,Auckland Islands Teal,574
caitea1,Campbell Islands Teal,575
